,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
980,c08d3628-fdde-4601-b4c7-d3c6dfb5892b,,,,,,,,,1,1,,1,,,Doutorado,,,,,,,,6,,,2023,68125729-c357-4830-ba4d-ec3ca757c323,0.995
981,2157c644-9524-40b4-b7f6-bd87dd8d7793,1,,,1,13,5,1,,,,,,,,Doutorado,1,18,1,11,,2,,8,,,2011,08aa6e17-f9ae-4979-a399-5b32a506a15e,18.125
982,47fbea08-9959-4a66-a5e8-c892f711fce8,,,,,,,,1,,,,,,,Mestrado,,,,,,,,2,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.625
983,48a5020b-4f6b-4448-b2e9-f4e5e7158d76,,,,,,,,,,,,,,,Mestrado,,,,,,,,3,,1,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
984,1036ca47-01a8-4987-82bd-19d36b4846e7,,,,1,,,,,,,,,,1,Mestrado,,,,,,,,,,1,2018,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
985,ad8f483a-fbba-48f9-81a3-da2c0749a387,,,,2,1,2,4,7,2,1,,,3,1,Pós-Doutorado,,5,2,11,,,,3,,1,2010,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,11.495
986,3432607c-3d3b-49bf-b68f-143cecb4432c,,,,2,,,,,,1,,,,,Doutorado,,2,,,,,,,,,2017,498cadc8-b8f6-4008-902e-76281109187d,0.37
987,94db7cbf-b842-4c92-bf3f-b288d0aa0202,,,,,,,,1,,,,,2,2,Doutorado,,,,,,,,31,,1,2003,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.625
988,d9a06fe2-53a8-4896-993c-c467e1ad0f05,,,,2,,,,1,10,1,2,,3,3,Pós-Doutorado,1,30,2,3,1,,,47,,7,2011,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,6.495
989,847b7263-e08d-4223-887e-dfc9026c2c03,,,,,,,,,,,,,,,Mestrado,,,,,,,,3,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
990,abc9f3ba-02f6-4ecb-8917-7e986d8737ea,,,,,,,1,,,,1,,,,Doutorado,,,2,,,,,5,,,2020,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,1.0
991,ef985ffb-5ff7-424b-b47f-d51a25b485a4,,,,1,1,1,1,,,,,,,,Pós-Doutorado,,10,3,,,,,2,,,2012,498cadc8-b8f6-4008-902e-76281109187d,2.625
992,d5dca3e7-62b3-404d-aebb-c2c664a7f2e8,,,,,,,,,,,,,,,Mestrado,,,,,,,,2,,7,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
993,5fe52e41-49f9-4d72-94fb-c3b25a847291,,,,,4,,1,2,16,6,5,,11,3,Doutorado,,23,8,10,,,,27,,20,2019,7d367bc2-5c74-4648-a637-7f5c3f4fac81,17.47
994,bb0ac462-3576-4be4-892a-635214ddea52,,,,,,,,,,,1,,,,Mestrado,1,,,,,,,4,,,None,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.25
995,d30d656b-a382-45e7-b647-7070f4167862,,,,5,,,,2,,,,,,,Doutorado,,1,,,,,,7,,6,2018,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,1.25
