,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,ind_prod
129,ff05fd37-629e-47bf-9d71-c3bbd755e5ce,,,,,,,,,,,,1,,,Especialização,,,,,,,,,,,0.125
130,619cfd2e-22e9-4257-8fbd-0b58cfb135ec,,,,3,,,,1,,,,,,,Doutorado,,,3,8,,,,7,,,0.625
131,dd9a05b7-5f86-437b-a804-c8427405f8f5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
132,b0d3ed7d-2c32-4901-b04e-3e8f1e71e3ed,,,,,,,,1,,1,,,3,1,Mestrado,2,8,,,,,,17,,,0.995
133,38d98eea-3092-44cd-a5d4-617dd4a23210,,,,2,,,1,,,1,,,,,Doutorado,,8,5,6,,,,3,,,1.12
134,b7c6f913-c4e5-4541-8272-76946b9baf79,,,,,,,,,,,,,,,Mestrado,,,,,,,,4,,,0.0
135,0a8ea4a6-70f9-465c-ab5a-a6c48f99ee96,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
136,d3c87bf9-bea0-4369-aa46-26fb0f548bed,,,,,,,,,,,,,,,Doutorado,,,,,,,,,,2,0.0
137,085c25d0-46e8-465a-a4db-d7eb9a583992,,,,,,,,,,,,,,,Especialização,,,,,,,,1,,,0.0
138,fb3c4a0b-7c53-4d88-9a0c-887b7f37f164,,,,,,,,,,,,,,,Especialização,,,,,,,,4,,,0.0
139,ad317615-64c0-4af4-935f-98cb538fd078,,,,,,,1,,,,,,,,Mestrado,,1,,,,,,3,,1,0.75
140,de0e83a2-338d-41e6-b26c-7ae7eb70d6f6,,,,,,,,,,,,,,,Mestrado,,,,,,,,2,,,0.0
141,e60f05fb-0878-4b26-8f79-4200307b223d,,,,41,,,,,,,,,4,2,Pós-Doutorado,,,7,13,,,,,,,0.0
142,d232d48b-f640-40e7-94d9-43920652d1af,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
143,b56cedb5-478a-46b6-91ac-2a21e36558e2,,,,1,,,,,,,,,,,Mestrado,,3,,,,,,8,,4,0.0
144,ca8415bc-7495-420d-bf68-26b421f4a0fe,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
