,researcher_id,institution_id,modality_code,modality_name,category_level_code,funding_program_name,aid_quantity,scholarship_quantity
139,2bce8067-87ea-4998-bdeb-fd852900895f,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
140,2ea9c3ce-6e67-4491-accd-91b4c8bfde02,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
141,2ea9c3ce-6e67-4491-accd-91b4c8bfde02,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
142,0e189b5c-e2a5-4df3-a10e-15bdfbcdd786,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
143,0e189b5c-e2a5-4df3-a10e-15bdfbcdd786,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
144,ba0c4ffb-3a8f-4a49-8268-8cf019ffeb91,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
145,ba0c4ffb-3a8f-4a49-8268-8cf019ffeb91,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
146,e2a22983-93f7-4abe-915e-a70ca56041ea,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
147,e2a22983-93f7-4abe-915e-a70ca56041ea,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
148,2f80e635-a7d7-489b-82c9-37c47c030004,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
149,2f80e635-a7d7-489b-82c9-37c47c030004,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
150,bc64bb9e-c120-49cf-bf1c-27e6a96d260b,083a16f0-cccf-47d2-a676-d10b8931f66b,DT,Produtividade Desen. Tec. e Extensão Inovadora,2,Programa Tecnológico de Produção e Serviços,,1
151,bc64bb9e-c120-49cf-bf1c-27e6a96d260b,083a16f0-cccf-47d2-a676-d10b8931f66b,DT,Produtividade Desen. Tec. e Extensão Inovadora,2,Programa Tecnológico de Produção e Serviços,,1
